Inspector Imanishi Investigates (Soho Crime);"['Review', 'Praise for', 'Inspector Imanishi Investigates', '""A police procedural in the classic tradition of . . . P.D. James\'s Commander Dalgliesh.""', '—', 'The New York Times', '""Patient, meticulous stories [that] offer an anatomy of a society as much as a picture of a crime.""', '—The Economist', '""A master crime writer.""', '—Jan van de Wetering, author of', 'Outsider in Amsterdam', '""The most intricate web of detection . . . A tantalizing double unveiling act . . . Belongs on your shelf next to Christie and Simenon, P.D. James and Robert Van Gulik. A superb thriller.""', '—', 'Los Angeles Times', '""An intriguing slice of the mores and habits of Japanese society . . . Seicho Matsumoto combines the prolific output of a Rex Stout with the literary qualities of Elmore Leonard.""', '—', 'San Francisco Chronicle', 'From Publishers Weekly', 'The corpse of an unknown provincial is discovered under the rails of a train in a Tokyo station, and Detective Imanishi is assigned to the case. ""Matsumoto is reputed to be Japan\'s leading mystery writer; this 1961 work is proof that he is a first-rate novelist,"" judged PW. Copyright 1990 Reed Business Information, Inc.', '--This text refers to an out of print or unavailable edition of this title.', 'About the Author', 'Native of Fukuoka Prefecture and prolific writer of socially oriented detective and mystery fiction, Matsumoto debuted as a writer after reaching the age of forty with the historically based', 'Saigo Takamori Chits', ', 1950, and', 'The Legend of the Kokura Diary', ', 1952. He then went on to establish his unique style of detective fiction with the works', 'The Walls Have Eyes', ', 1957, and', 'Points and Lines', ', 1958. Matsumoto made a name for himself as the writer of suspense novels that were accesible to all kinds of readership, but it was his historical novel', 'The Ogura Diary Chronicles', 'that earned him The 28th Akutagawa Prize, the Japanese equivalent of the Pulitzer Prize. The popular Japanese TV show ""Black Leather Notebook"" was based on his novel of the same name, and several of his detective fiction works have been published in the US (SoHo Crime and Kodansha International).', '--This text refers to an alternate', 'kindle_edition', 'edition.', 'Read more']";9.99;Seicho Matsumoto (Author),  Beth Cary (Translator)   Format: Kindle Edition;['Books', 'Mystery, Thriller & Suspense', 'Thrillers & Suspense'];"{'Publisher': 'Soho Crime; Revised ed. edition (July 1, 2003)', 'Publication date': 'July 1, 2003', 'Language': 'English', 'File size': '2295 KB', 'Text to Speech': 'Enabled', 'Screen Reader': 'Supported', 'Enhanced typesetting': 'Enabled', 'X Ray': 'Enabled', 'Word Wise': 'Enabled', 'Sticky notes': 'On Kindle Scribe', 'Print length': '372 pages'}";B003P2WETK
title;description;price;store;categories;details;parent_asin
Officially Dead;[];20.0;Quentin Reynolds (Author);[];"{'Publisher': 'Random House; 1st edition (January 1, 1945)', 'Language': 'English', 'Item Weight': '12 ounces'}";B000JDT7L6
title;description;price;store;categories;details;parent_asin
Dine In!;"['About the Author', 'Nick Stellino grew up in Palermo, on the island of Sicily, and moved the United States in 1975. His career has included the television series ""Cucina Amore"", and ""Nick Stellino\'s Family Kitchen"", plus two public television specials and seven cookbooks. Nick and his wife Nanci live in Los Angeles.']";34.18;Nick Stellino (Author);['Books', 'Cookbooks, Food & Wine'];{'Publisher': 'KCTS Television (March 6, 2006)', 'Language': 'English', 'Spiral bound': '100 pages', 'ISBN 10': '0974028622', 'ISBN 13': '978-0974028620', 'Item Weight': '2.15 pounds'};0974028622
title;description;price;store;categories;details;parent_asin
The Promise of Love (The Book of Love);[];11.99;Meara Platt (Author);['Books', 'Romance', 'Historical'];{'Publisher': 'Independently published (July 1, 2021)', 'Language': 'English', 'Paperback': '230 pages', 'ISBN 13': '979-8530009297', 'Item Weight': '14.4 ounces', 'Dimensions': '6 x 0.52 x 9 inches'};B098JWSP78
title;description;price;store;categories;details;parent_asin
Statesmen of the Lost Cause;[];6.29;Burton J. Hendrick (Author);['Books', 'History', 'Americas'];"{'Publisher': 'Little Brown; First Edition (January 1, 1939)', 'Language': 'English', 'ISBN 10': '1299110835', 'ISBN 13': '978-1299110830', 'Item Weight': '2.06 pounds'}";B0006AOORE
title;description;price;store;categories;details;parent_asin
A Monster Sandwich (The Story Box - Level 1 - Set B - for Emergent Readers) [Paperback];[];11.2;Joy Cowley (Author);[];{'Language': 'English', 'Paperback': '8 pages', 'ISBN 10': '0780274164', 'ISBN 13': '978-0780274167', 'Item Weight': '1.01 pounds'};0780274164
title;description;price;store;categories;details;parent_asin
Sounds from the Heart: Learning to Listen to Girls;"['About the Author', ""MAUREEN BARBIERI has taught middle school in New Hampshire, Ohio, and South Carolina. Since coming to New York, she has been a staff developer in District 2 and a divisional head at Marymount, an all girls' independent school. In addition to frequent consulting, she now teaches literacy courses in the Department of Teaching and Learning at New York University's Steinhardt School of Education, where she co-directs the summer writing institute. Her book, Sounds from the Heart: Learning to Listen to Girls (Heinemann, 1995), received the James N. Britton Award for Inquiry with the English Language Arts from the National Council of Teachers of English as well as the International Educator's Award from the Delta Kappa Gamma Society.""]";6.42;Maureen Barbieri (Author),  Myra Sadker (Foreword);['Books', 'New, Used & Rental Textbooks', 'Education'];"{'Publisher': 'Heinemann; First Edition (March 20, 1995)', 'Language': 'English', 'Paperback': '269 pages', 'ISBN 10': '0435088432', 'ISBN 13': '978-0435088439', 'Reading age': '11 - 16 years', 'Item Weight': '14.2 ounces', 'Dimensions': '6 x 0.59 x 9 inches'}";0435088432
title;description;price;store;categories;details;parent_asin
Hunting Evil;[];22.27;;['Books', 'History', 'World'];{'Language': 'English', 'ISBN 10': '0553819399', 'ISBN 13': '978-0553819397', 'Item Weight': '1.06 pounds', 'Dimensions': '5 x 1.65 x 7.8 inches'};0553819399
title;description;price;store;categories;details;parent_asin
Les Chiens De Paris;[];8.84;Barna Conrad III (Author);['Books', 'Crafts, Hobbies & Home', 'Pets & Animal Care'];{'Publisher': 'Thames and Hudson Ltd (March 20, 1995)', 'Language': 'English', 'ISBN 10': '0500016550', 'ISBN 13': '978-0500016558', 'Item Weight': '13.4 ounces'};0500016550
title;description;price;store;categories;details;parent_asin
Acoustic & Digital Piano Buyer Fall 2017: Supplement to The Piano Book;['About the Author', 'Larry Fine', 'is the author of', 'The Piano Book: Buying & Owning a New or Used Piano', ', for 30 years the standard consumer reference in the piano business. A Registered Piano Technician, Fine has been involved in the piano industry for more than 40 years. He lives in San Diego, California.'];8.48;Larry Fine (Author);['Books', 'Arts & Photography', 'Music'];"{'Publisher': 'Brookside Press; Supplement edition (November 10, 2017)', 'Language': 'English', 'Paperback': '264 pages', 'ISBN 10': '1929145667', 'ISBN 13': '978-1929145669', 'Item Weight': '1.58 pounds', 'Dimensions': '8.25 x 0.5 x 11 inches'}";1929145667
title;description;price;store;categories;details;parent_asin
Sugary Sweets (A Taste of Love Series);"['Review', '""An incredible book by an incredible author. It is full of sweetness, sass and heat that will have you craving more.""\xa0Lisa @ LBM Book Blog', '""An incredible book by an incredible author. It is full of sweetness, sass and heat that will have you craving more.""', 'Lisa @ LBM Book Blog', '""I would say grab this Romantic Comedy if you like a light romance with some hilarity thrown in. This is definitely one that you can chuckle through and maybe even relate a time or two."" Stephanie @ Stephanie Book Reports', '""I would say grab this Romantic Comedy if you like a light romance with some hilarity thrown in. This is definitely one that you can chuckle through and maybe even relate a time or two.""', 'Stephanie @ Stephanie Book Reports', '""Her original witty banter makes for brilliant well placed humor, and the emotions of the circle of friends are very realistic. Now I have added her to the list of authors trying to kill me with the way she teased me with the next book, but nonetheless, I\'m HIGHLY HIGHLY HIGHLY RECOMMENDING Sugary Sweets!"" Jennifer @ The Power of Three Readers', '""Her original witty banter makes for brilliant well placed humor, and the emotions of the circle of friends are very realistic. Now I have added her to the list of authors trying to kill me with the way she teased me with the next book, but nonetheless, I\'m HIGHLY HIGHLY HIGHLY RECOMMENDING Sugary Sweets!""', 'Jennifer @ The Power of Three Readers', '""The emotions of the friend are so realistic ,but that is the way this author writes and it\'s how she places her humor that gets you every time. I could tell you more about this great story ,but that would spoil it for you. I highly recommend that you read this story, you won\'t be disappointed."" Bella\'s Blog', '""The emotions of the friend are so realistic ,but that is the way this author writes and it\'s how she places her humor that gets you every time. I could tell you more about this great story ,but that would spoil it for you. I highly recommend that you read this story, you won\'t be disappointed.""', ""Bella's Blog"", 'About the Author', 'International Bestselling Author, A.M. Willard is a true believer of soul mates, and happy ever afters. She enjoys reading, sailing, and of course writing contemporary romance, and romantic comedy with some saucy scenes. Releasing her first novella of the One Night Series on April 12, 2014, has sent her on a new journey in life.\xa0You can connect with A.M. Willard on her website at amwillard.com or subscribe to her newsletter for the latest releases, teasers, and sale alerts: eepurl.com/bb-Cd1Follow her:Facebook: tinyurl.com/nnx2s8mTwitter: @AMWillard1Google + Author Page: tinyurl.com/ncmxhadWebsite amwillard.com/']";12.95;A.M. Willard (Author);['Books', 'Literature & Fiction', 'Humor & Satire'];{'Publisher': 'CreateSpace Independent Publishing Platform (August 18, 2016)', 'Language': 'English', 'Paperback': '140 pages', 'ISBN 10': '1536832286', 'ISBN 13': '978-1536832280', 'Item Weight': '6.6 ounces', 'Dimensions': '5.51 x 0.33 x 8.5 inches'};1536832286
title;description;price;store;categories;details;parent_asin
